剧情,喜剧,动作,爱情,科幻,动画,悬疑,惊悚,恐怖,犯罪,传记,历史,战争,西部,奇幻,冒险,纪录片,武侠,sum,剧情,喜剧,动作,爱情,科幻,动画,悬疑,惊悚,恐怖,犯罪,传记,历史,战争,西部,奇幻,冒险,纪录片,武侠
87,9,3,41,1,1,6,9,2,12,8,7,3,0,5,0,3,1,198,0.439393939,0.045454545,0.015151515,0.207070707,0.005050505,0.005050505,0.03030303,0.045454545,0.01010101,0.060606061,0.04040404,0.035353535,0.015151515,0,0.025252525,0,0.015151515,0.005050505
668,156,161,223,61,24,230,208,16,172,30,33,24,3,45,54,10,13,2131,0.313467855,0.073205068,0.075551384,0.104645706,0.028625059,0.011262318,0.107930549,0.097606757,0.007508212,0.08071328,0.014077898,0.015485687,0.011262318,0.00140779,0.021116847,0.025340216,0.004692633,0.006100422
327,121,85,75,62,93,65,64,22,60,41,23,13,3,37,40,39,21,1191,0.274559194,0.101595298,0.071368598,0.062972292,0.052057095,0.078085642,0.054575987,0.053736356,0.018471872,0.050377834,0.034424853,0.019311503,0.010915197,0.002518892,0.031066331,0.033585223,0.032745592,0.017632242
646,208,89,361,16,129,31,28,8,39,65,71,42,2,66,28,23,23,1875,0.344533333,0.110933333,0.047466667,0.192533333,0.008533333,0.0688,0.016533333,0.014933333,0.004266667,0.0208,0.034666667,0.037866667,0.0224,0.001066667,0.0352,0.014933333,0.012266667,0.012266667
902,304,231,305,92,108,133,102,37,122,44,55,57,8,103,106,137,18,2864,0.314944134,0.106145251,0.080656425,0.106494413,0.032122905,0.037709497,0.046438547,0.035614525,0.012918994,0.042597765,0.015363128,0.019203911,0.019902235,0.002793296,0.035963687,0.037011173,0.047835196,0.006284916
507,225,322,146,183,199,98,145,10,114,51,63,54,10,107,157,26,18,2435,0.208213552,0.092402464,0.132238193,0.059958932,0.075154004,0.081724846,0.040246407,0.059548255,0.004106776,0.046817248,0.020944559,0.02587269,0.022176591,0.004106776,0.043942505,0.064476386,0.010677618,0.007392197
697,326,302,177,168,316,131,242,162,160,44,48,35,10,113,137,90,6,3164,0.220290771,0.103034134,0.095448799,0.055941846,0.053097345,0.099873578,0.041403287,0.076485461,0.051201011,0.0505689,0.013906448,0.01517067,0.011061947,0.003160556,0.035714286,0.043299621,0.028445006,0.001896334
948,334,265,310,113,81,252,266,92,188,100,98,78,7,108,129,86,19,3474,0.272884283,0.096142775,0.076280944,0.089234312,0.032527346,0.023316062,0.07253886,0.076568797,0.026482441,0.054116292,0.028785262,0.028209557,0.022452504,0.002014968,0.031088083,0.037132988,0.024755325,0.0054692
599,392,166,249,65,251,87,90,12,91,38,36,36,4,94,86,51,29,2376,0.252104377,0.164983165,0.06986532,0.10479798,0.027356902,0.105639731,0.036616162,0.037878788,0.005050505,0.038299663,0.015993266,0.015151515,0.015151515,0.001683502,0.03956229,0.036195286,0.021464646,0.012205387
107,82,108,41,46,32,34,29,0,25,5,4,6,0,60,63,2,7,651,0.164362519,0.125960061,0.165898618,0.062980031,0.070660522,0.049155146,0.052227343,0.044546851,0,0.038402458,0.007680492,0.006144393,0.00921659,0,0.092165899,0.096774194,0.003072197,0.010752688
134,91,31,91,21,27,16,11,6,13,8,7,6,0,38,25,3,6,534,0.25093633,0.170411985,0.058052434,0.170411985,0.039325843,0.050561798,0.029962547,0.020599251,0.011235955,0.024344569,0.014981273,0.013108614,0.011235955,0,0.071161049,0.046816479,0.005617978,0.011235955
401,373,299,182,166,129,81,110,52,70,24,16,9,3,188,179,7,8,2297,0.174575533,0.162385721,0.130169787,0.079233783,0.072268176,0.056160209,0.035263387,0.04788855,0.022638224,0.030474532,0.010448411,0.006965607,0.003918154,0.001306051,0.081845886,0.077927732,0.003047453,0.003482804
136,61,79,58,33,41,22,21,10,30,7,11,8,0,60,51,0,6,634,0.214511041,0.096214511,0.124605678,0.09148265,0.052050473,0.06466877,0.034700315,0.033123028,0.015772871,0.047318612,0.011041009,0.017350158,0.012618297,0,0.094637224,0.08044164,0,0.009463722
233,64,34,154,6,9,14,6,2,12,7,17,6,0,32,5,9,29,639,0.364632238,0.100156495,0.053208138,0.241001565,0.009389671,0.014084507,0.021909233,0.009389671,0.00312989,0.018779343,0.010954617,0.026604069,0.009389671,0,0.050078247,0.007824726,0.014084507,0.045383412
136,30,16,51,31,5,31,31,8,19,24,5,5,0,11,13,0,0,416,0.326923077,0.072115385,0.038461538,0.122596154,0.074519231,0.012019231,0.074519231,0.074519231,0.019230769,0.045673077,0.057692308,0.012019231,0.012019231,0,0.026442308,0.03125,0,0
126,99,132,26,72,44,17,27,5,46,14,8,10,0,41,68,1,1,737,0.170963365,0.134328358,0.179104478,0.035278155,0.097693351,0.059701493,0.023066486,0.036635007,0.006784261,0.062415197,0.018995929,0.010854817,0.013568521,0,0.055630936,0.092265943,0.001356852,0.001356852
126,61,56,88,31,21,12,17,11,18,6,4,4,0,50,41,2,5,553,0.227848101,0.110307414,0.101265823,0.159132007,0.056057866,0.037974684,0.021699819,0.03074141,0.019891501,0.032549729,0.01084991,0.007233273,0.007233273,0,0.090415913,0.074141049,0.003616637,0.009041591
94,90,112,41,60,98,27,20,2,32,1,3,5,0,57,69,1,11,723,0.130013831,0.124481328,0.154910097,0.05670816,0.082987552,0.135546335,0.037344398,0.027662517,0.002766252,0.044260028,0.001383126,0.004149378,0.006915629,0,0.078838174,0.095435685,0.001383126,0.015214385
278,117,139,97,61,76,76,60,7,70,16,18,15,2,69,54,2,17,1174,0.236797274,0.099659284,0.118398637,0.082623509,0.051959114,0.064735945,0.064735945,0.051107325,0.005962521,0.059625213,0.01362862,0.015332198,0.012776831,0.001703578,0.058773424,0.045996593,0.001703578,0.014480409
703,346,271,206,95,73,121,190,217,149,28,37,31,4,85,55,81,20,2712,0.259218289,0.127581121,0.099926254,0.075958702,0.035029499,0.026917404,0.044616519,0.070058997,0.080014749,0.054941003,0.010324484,0.013643068,0.011430678,0.001474926,0.031342183,0.020280236,0.029867257,0.007374631
